content|type
Part of SoftBank’s loss was also connected to its investment in Uber. The ride-hailing company reported another quarterly loss, of $1.2bn, and said it did not expect to turn an annual profit until 2021. Its share price tumbled to another record low, in part because of expectations that Uber’s shares will flood the market now that investors who were locked in to holding them after the company’s IPO in May are free to sell.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
The Federal Communications Commission formally approved the long-delayed merger of Sprint, which is owned by SoftBank, and T-Mobile, Deutsche Telekom’s American subsidiary. A lawsuit brought by a coalition of states attempting to block the deal on antitrust grounds is due to be heard in court next month.|business
HP, one of the world’s biggest makers of personal computers and printers, confirmed that it had received a “proposal” from Xerox, a smaller company focused on office photocopiers, to combine their businesses. A deal would reportedly be valued at around $30bn.|business
America and China were making progress in trade negotiations, with each considering a reduction in tariffs. The conclusion of “phase one” of a trade truce is uncertain because of civil unrest in Chile, which has cancelled the APEC meeting where the deal was to be signed. Meanwhile, the World Trade Organisation gave China official approval for the first time to impose tariffs on America, in a dispute over steel pre-dating their current spat. See article.|business
Steve Easterbrook was sacked by McDonald’s as its chief executive for having a romance with an employee. Although the relationship was consensual, McDonald’s said it “violated company policy and demonstrated poor judgment”. Mr Easterbrook has been credited with revitalising the fast-food chain by spicing up its menu. Its share price has doubled since March 2015, when he became CEO. See article.|business
International Airlines Group, the parent company of several carriers, including British Airways and Iberia, agreed to buy Air Europa, a smaller Spanish rival to Iberia. The deal will increase IAG’s share of the Europe-to-Latin America market from roughly a fifth to a quarter. Michael O’Leary, the boss of Ryanair, Europe’s biggest low-cost airline, was not happy. He claims the takeover will hurt competition and wants regulators to force IAG to sell off some assets.|business
Concerns about data privacy were raised following the announcement that Google is to buy Fitbit, a wearable device that tracks a user’s exercise and healthy habits. Google and Fitbit stressed that the $2.1bn deal would not compromise their commitment to transparency on data use and that information would not be sold on to third parties. As well as recording a person’s heart rate, running pace, calorie burn and so on, Fitbit also retains personal information and location details.|business
Saudi Aramco at last confirmed that it is to launch an IPO, the details of which will be provided in a prospectus scheduled to be published on November 9th. The state-owned Saudi oil firm will sell shares on the Tadawul stock exchange in Riyadh. In an effort to widen its appeal domestically, small investors will receive bonus shares if they keep the stock until at least 180 days after the flotation.|business
Malaysia’s prime minister, Mahathir Mohamad, said he was prepared to take Goldman Sachs to court if it did not increase its offer of compensation for its role in the sprawling 1MDB-fund scandal. Mr Mahathir said recently that he had rejected an offer of $2bn from the bank.|business
One of the pioneers of America’s shale-gas revolution, Chesapeake Energy, warned in a filing that it was in danger of failing as a “going concern” if cheap gas prices persist. The company has amassed almost $10bn in debt, five times its market value, amid a glut in American oil and gas output, which has driven prices down.|business
The British government banned fracking in England, after an official report found that it was not possible to predict when and where earth tremors caused by the process for extracting shale gas might occur. Environmentalists were delighted. Others accused the government of pulling a pre-election stunt. See article.|business
The Federal Reserve cut its benchmark interest rate for the third time this year, shaving off another quarter of a percentage point to a range of between 1.5% and 1.75%. Arguments have raged at the central bank about the need for further easing in America’s still robust economy. Many have read the runes of the carefully worded statement by Jerome Powell, the Fed’s chairman, that “policy is likely to remain appropriate”, to suggest that future reductions are on hold. See article.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
Official figures showed that the American economy grew by 1.9% at an annualised rate in the third quarter. The data underlined the Fed ratesetters’ conundrum; consumer and government spending remained buoyant, though business investment was limp. See article.|business
Groupe PSA, the maker of the Peugeot car brand, and Fiat Chrysler Automobiles agreed to merge, creating the world’s fourth-largest car manufacturer. Carmakers are under increasing pressure to consolidate in an industry beset by rising costs and disruptive technologies. Earlier this year Fiat Chrysler tried to engineer a merger with Renault, but it hit a dead end when the French government, which owns 15% of Renault, withheld its support. See article.|business
The recent strike at General Motors is now thought to have cost the company $2.9bn. The 40-day strike was the longest at the carmaker since 1970.|business
In a week when it announced that it would have to lay off up to 15% of its workforce, Juul which dominates the market for e-cigarettes, faced a lawsuit from a former executive accusing it of selling contaminated vaping pods to retailers. It is another blow for e-cigarettes, which are under scrutiny in dozens of cases of lung disease.|business
General Electric reported another huge quarterly net loss, this time of $9.5bn, as it booked charges connected to its restructuring. Some $8.7bn of that relates to writing down its investment in Baker Hughes, an oil-services firm.|business
The long-awaited IPO of Saudi Aramco was reportedly ready to be launched on November 3rd. Shares in the world’s biggest oil company, owned by the Saudi state, are expected to start trading in mid-December. See article.|business
Microsoft won a $10bn contract to create a “war-fighter” cloud-computing system for the Pentagon. The decision to award the Joint Enterprise Defence Infrastructure (JEDI) project to Microsoft was a surprise, as Amazon had been the front-runner. It might yet challenge the decision, especially given Donald Trump’s animosity towards Jeff Bezos, Amazon’s boss. Mr Trump reportedly wanted to “screw” Amazon over the contract.|business
Arm, a chip designer based in Britain, is to resume supplying components to Huawei, a Chinese tech firm sanctioned by the American government. Arm is now confident that its designs do not fall under American export-control rules after all. The firm is one of Huawei’s most important, and least replaceable, suppliers.|business
WhatsApp is to sue the NSO Group, an Israeli maker of commercial spyware. The encrypted chat service, which is owned by Facebook, alleges that NSO’s malware was used to spy on the conversations of 1,400 people in 20 countries, including lawyers, journalists and human-rights advocates.|business
Facebook reported a surge in revenue and profit for the third quarter. Mark Zuckerberg used the occasion to reflect on “the importance of standing for voice and free expression”, as he defended his position not to “censor” politicians. Earlier, Twitter announced a ban on all political advertising on its platform worldwide.|business
Apple’s quarterly earnings retold a now-familiar tale. Sales from the iPhone were down, though revenues from wearable devices and services jumped; those two segments accounted for 30% of the company’s sales in the quarter.|business
Murray Energy, America’s fourth-largest coal miner, filed for bankruptcy protection. It is the latest firm to go to the wall in an industry that has been squeezed by natural gas and renewable energy, despite Donald Trump’s many promises to save coal jobs.|business
LVMH, the world’s largest luxury-goods company, made an unsolicited bid to buy Tiffany, a jewellery firm. Tiffany valued the deal at $14.5bn. The offer is the largest acquisition yet attempted by Bernard Arnault, LVMH’s multi-billionaire boss, and another big bet on bling; in 2011 LVMH took a majority stake in Bulgari.|business
Virgin Galactic became the first space-tourism venture to become a publicly traded company when it floated in New York (it avoided an IPO by combining the business with an already-listed investment vehicle). Galactic thinks it can eventually turn a profit by persuading enough rich folk to pay $250,000 for a 90-minute, 50-mile trip above the Earth’s surface, part of its “mission” of “democratising space”.|business
Mark Zuckerberg was grilled in Congress about Libra, a global digital currency that Facebook hopes to launch next year but which faces mounting regulatory hurdles, causing some of its biggest backers to walk away. Mr Zuckerberg argued that Libra will advance financial innovation, and extend America’s “democratic values”. But with Democrats calling for the break up of big tech companies, Facebook has spent the most of any firm this year on lobbying Capitol Hill, just ahead of Amazon. See article.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
SoftBank proposed a rescue deal for WeWork, an office-rental startup that delayed its IPO amid investor concerns about its true worth. The offer from the Japanese tech conglomerate increases its stake and values WeWork at around $8bn, a long way from an estimate of $47bn earlier this year. Adam Neumann, WeWork’s boss, who has been blamed for the firm’s spectacular reversal of fortunes, could gain up to $1.7bn from the deal, including a $185m “consulting fee”. That will rankle staff who are left holding cut-rate share options.|business
Four American state attorneys-general outlined a $48bn proposal to settle thousands of claims against five companies involved in the opioid crisis and urged their fellow litigants to accept the deal. As part of the agreement two drugmakers and three drug distributors would pay out $22bn in cash and $26bn in kind for treating opioid addiction over the next decade. Separately, drug companies reached a settlement worth $260m to avoid what would have been the first opioid trial in a federal court.|business
Biogen’s share price soared by 25% when it reversed course and said it would now seek regulatory approval for a new treatment for Alzheimer’s disease that it had stopped testing. The biotech company said the results from a wider analysis of tests showed that patients “experienced significant benefits on measures of cognition and function”. See article.|business
China’s economy expanded by 6% in the third quarter compared with the same three months in 2018, the slowest rate of growth in 30 years.|business
A lawsuit brought by New York state’s attorney-general claiming that ExxonMobil engaged in dodgy climate-change accounting opened in court. The suit accuses the oil company of defrauding investors by disclosing a public proxy cost for carbon emissions to account for the possibility of climate regulations, while using a separate, lower estimate for carbon costs in its internal planning. The attorney-general maintains this meant investors could not properly account for the risk posed by climate regulations. The company denies wrongdoing.|business
Saudi Aramco was said to have delayed the launch of its long-awaited IPO because of unfavourable market conditions and lower expectations among investors of its stockmarket value. Its third-quarter earnings may shed more light.|business
An annual survey of global wealth from Credit Suisse found that the bottom half of adults account for less than 1% of total wealth, while the top 1% own 45%. However, that figure has dipped a bit from 2000. The report suggests that global wealth inequality may have peaked in 2016. See article.|business
Just Eat, a British food-delivery company, rejected a $6.3bn takeover bid from Prosus, the Dutch-listed subsidiary of Naspers. Just Eat is sticking to its merger with Takeaway.com, which operates mostly in Germany and eastern Europe.|business
Tesla delighted investors with a positive quarterly earnings report. It is on track to launch its Model Y sport-utility vehicle next year, it has tested production at its new factory in Shanghai, and it actually turned a net profit, of $143m. The electric-car maker racked up $1.1bn in losses in the first six months of the year.|business
Boeing’s profits tumbled in the third quarter, and revenues were down by a fifth, as it continued to grapple with the worldwide grounding of its 737 MAX jetliner following two crashes. It did not book any further accounting charges because of the grounding, and said it would continue making the plane, though slower production cost it almost another $1bn. Boeing also appointed a new head of its commercial aviation business.|business
Climate-change activists want people to fly less, but the New York-to-Sydney route that had its maiden voyage this week would keep travellers in the skies for longer. The Qantas direct flight, the world’s longest at 16,200km (10,100 miles), took 20 hours and carried volunteers who were tested for endurance. The key, apparently, was to limit alcohol intake and eat the breakfast of avocado purée, halloumi cheese and herb salad. If enough passengers can stomach that, Qantas hopes to start flying the route commercially in 2022.|business
Clarification (October 25th 2019): An earlier version of this article said Naspers made the takeover bid for Just Eat. In fact it was made by Prosus, Naspers's Dutch-listed subsidiary. Sorry.|business
Steven Mnuchin, America’s treasury secretary, warned China that a new round of tariffs would be imposed on Chinese goods in December if it did not adhere to the accord struck between the two countries on October 11th. Under the deal China will buy more American agricultural produce, toughen protections for intellectual property and provide more access to its financial-services market, enough concessions to stop America raising tariffs on $250bn-worth of exports. China was cautious about the prospect for a breakthrough that will end the trade war. Donald Trump was more ebullient, declaring that the deal amounted to a “love fest”.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
Huawei reported that its business supplying 5G network equipment is thriving, despite being blacklisted by the American government, and that to date, it has signed 60 contracts with telecoms companies around the world. The Chinese maker of telecoms equipment has stockpiled essential components that are in limited supply from American firms because of the ban.|business
Goldman Sachs reported a big drop in quarterly profit and revealed that it had lost $80m so far on its investment in WeWork, a loss-making office-rentals startup that had to abort its long-awaited stockmarket debut when its valuation sank. By contrast, JPMorgan Chase, which was the lead underwriter on WeWork’s IPO, recorded a rise in net profit, to $9.1bn. The bank is said to be working on a financing package for WeWork to stop it running out of cash next month.|business
An international panel of experts reviewing the certification process of Boeing’s 737 MAX jetliner, which has been grounded following two crashes, published a report that was highly critical of the aerospace company and the Federal Aviation Administration. The report found that the FAA had “inadequate awareness” of what the plane’s new automated system was supposed to do. On the day it was published, Boeing separated Dennis Muilenburg’s dual positions as chief executive and chairman, in order to augment the board’s “active oversight role”.|business
Nestlé said it would return SFr20bn ($20bn) to shareholders over the next few years, after reporting solid revenues and a boost from the sale of its skincare business. The Swiss food-and-drink maker’s share price has risen by a third since January.|business
Investors responded positively to Netflix’s quarterly earnings. The video-streaming company undershot its forecast for new subscribers in America during the third quarter, though that was still a rebound from the previous three months, when it lost domestic users. It added 6.3m international customers, above expectations. Netflix also lowered its outlook, as it braces for the launch of rival streaming services from Apple and Disney next month.|business
Facebook held the first meeting of the association that will oversee its proposed Libra digital currency, despite a barrage of objections raised by global regulators. Facebook insists Libra will be up and running next year, even though eBay, Mastercard, PayPal and Visa have pulled out. Still, 21 companies have signed up to the payments network, including Uber and Vodafone.|business
The IMF again downgraded its growth forecasts amid “uncertainty about the future of the global trading system and international co-operation”. The world economy is projected to grow by just 3% this year, the slowest pace in a decade. The “systemic economies” of America, China, the euro zone and Japan can expect only a moderate expansion over the next few years. The IMF pointed out that subdued growth has coincided with easy monetary policy, but warned that central banks have little ammunition left when economies are in a “tougher spot”.|business
The Federal Reserve began buying short-term government bonds at a monthly rate of $60bn in order to refill its portfolio until at least the second quarter of next year. It is doing this to ease a cash crunch and sharp rise in banks’ overnight lending costs (the repo rate). The size of the intervention took many by surprise. The central bank described it as a technical move, not a return to quantitative easing, which involved buying longer-dated treasuries.|business
The United Automobile Workers union reached a tentative deal over a new contract with General Motors. The workers have been on strike for over a month, which is said to have cost the carmaker up to $1.5bn.|business
James Dyson scrapped his firm’s project to build electric cars, acknowledging that it was not commercially viable. The British inventor, whose cordless vacuum cleaners and other gadgets have eased the burden of household chores, reportedly pulled the plug on the Dyson vehicle in the face of intense competition from established carmakers, who are ramping up production of their own battery-powered models.|business
The OECD advanced proposals to ditch the current rules covering international corporate tax, “which date back to the 1920s and are no longer sufficient” in a globalised world, and create a system that acknowledges the “digitalisation” of the world economy. The plan would end decades of practice by allowing a country to tax a company that does “significant business” within its borders, even if it has no base there. The OECD wants to create a multilateral framework to override the patchwork of unilateral laws. The new system would apply not only to tech companies such as Apple and Facebook, which have been criticised for avoiding tax in countries like Britain and France, but also luxury-goods firms, carmakers and other highly globalised industries.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
Hong Kong’s stock exchange dropped its £32bn ($39bn) unsolicited bid for the London Stock Exchange. The LSE had rejected the offer, reiterating its commitment to buy Refinitiv, a financial-data provider. The British bourse has said it sees Shanghai as the gateway to Chinese markets, and has forged closer links with investors there. See article.|business
Trying to put the era of Carlos Ghosn behind it, Nissan appointed Makoto Uchida as its new chief executive, replacing the ousted Hiroto Saikawa, who was Mr Ghosn’s protégé. Mr Uchida will head a new three-man leadership team at the Japanese carmaker, which is slashing production in the face of falling sales.|business
BP announced that Bob Dudley is to retire as chief executive early next year and be replaced by Bernard Looney, who heads its upstream business. Mr Dudley took the helm at BP in 2010, soon after the Deepwater Horizon disaster, steering the company through a flood of legal claims that ate into its profits. Before that he had headed TNK-BP, the company’s joint venture in Russia, which eventually fell foul of the authorities.|business
A jury in Philadelphia ordered Johnson & Johnson to pay $8bn in punitive damages to a man who claims his childhood use of Risperdal, an antipsychotic drug, caused him to grow breasts. The company, which faces more than 13,000 lawsuits over Risperdal, said it would appeal against the verdict, which it described as “excessive and unfounded”.|business
America’s unemployment rate dropped to a 50-year low, of 3.5%. A broader measure of under-utilisation in the labour market fell to 6.9%, its lowest since 2000. See article.|business
Millions of people in northern California had their electricity cut off by Pacific Gas & Electric, as the utility endeavoured to prevent wildfires ignited by its power lines. PG&E filed for bankruptcy protection in January amid claims that its equipment had sparked deadly infernos. The blackout could last for days and affects Silicon Valley and the Bay Area, though not San Francisco. Southern California Edison said it was considering similar action, which would affect the Los Angeles area.|business
America lost its top spot to Singapore in the World Economic Forum’s annual competitiveness index. Hong Kong, the Netherlands and Switzerland made up the rest of the top five. Britain was ninth in the 141-country survey.|business
At a signing ceremony at the White House, America and Japan sealed their new trade deal. The Trump administration sought the accord after pulling out of a transpacific agreement, which covers 11 countries. This bilateral pact is more limited in scope, mostly covering agricultural goods and avoiding thorny issues, such as car exports. Still, the deal does lower tariffs, a change from the tit-for-tat penalties levied in America’s dispute with China. Ahead of another increase in tariffs on $250bn-worth of Chinese goods, Chinese officials travelled to Washington for a further round of trade talks.|business
Ahead of the talks, America increased the pressure on China by adding more Chinese companies to its trade blacklist, including startups working in artificial intelligence. One of them, Megvii, which develops facial-recognition technology, had recently filed for an IPO in Hong Kong. America says the firms are “implicated in the implementation of China’s campaign of repression” against Muslims in Xinjiang. See article.|business
Meanwhile, Apple pulled an app from the iPhone that enabled protesters in Hong Kong to map police movements after it was heavily criticised in Chinese state media.|business
News that PizzaExpress might fold unless it can restructure its debt prompted campaigns on Twitter to save the 54-year-old restaurant group. Founded in London, the chain helped pioneer casual dining in Britain, concentrating its branches in upper-crust areas. It has gone through several private-equity owners. In response to the outpouring of affection, the pizza firm tweeted that “it feels good to be kneaded” and reassured investors that it was “still making dough”.|business
A 15-year dispute over subsidies in the aerospace industry came to a partial climax when the World Trade Organisation ruled that America could levy $7.5bn-worth of tariffs on exports from the European Union because of the illegal aid given to Airbus. Next year the WTO will probably approve European penalties on America because of its aid to Boeing. The decision adds to already heightened trade tensions. America said it would start imposing the tariffs on October 18th, of 10% on aircraft and 25% on a range of other goods, including cheese, olives, wine and whiskey. See article.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
Earlier, the WTO said it now expects global trade flows to increase by just 1.2% this year, down from the 2.6% it forecast in April and the slowest pace since the financial crisis. Unresolved trade conflicts have led to greater uncertainty about policy, causing businesses to put off investment. The growth of exports and imports slowed across all regions in the first half of 2019. Meanwhile, an index of American manufacturing fell to its lowest level since June 2009.|business
The chairman of Credit Suisse said the bank had been wrong to conduct surveillance on Iqbal Khan, a former executive, over fears he would lure away staff and clients. The bank’s chief operating officer, who admitted to acting alone in ordering the operation, and the head of security, resigned. A review by a law firm called in by Switzerland’s second-biggest bank cleared Tidjane Thiam, the chief executive, of any involvement. Mr Thiam had an acrimonious relationship with Mr Khan; the pair reportedly had a blazing row at a cocktail party in January. See article.|business
Wells Fargo named Charles Scharf as its new chief executive, six months after Tim Sloan resigned in the aftermath of a mis-selling scandal. Mr Scharf has led Bank of New York Mellon and Visa and was a senior executive at JPMorgan Chase during the financial crisis. See article.|business
India’s central bankreassured the public that the banking system is “safe and stable and there is no need to panic” as another scandal emerged. Curbs had to be imposed on withdrawals by nervous savers from Punjab and Maharashtra Co-operative Bank as it came under scrutiny for financial irregularities. Another bank faced restrictions on its ability to make new loans.|business
Faced with a sharp downturn in the country’s housing market, Australia’s central bank cut its main interest rate by a quarter of a percentage point, to 0.75%, the lowest ever.|business
A drop in Turkey’s annual inflation rate to 9.3%, the lowest in almost three years, increased the betting that the central bank would cut interest rates again, despite recent remarks by its new governor that there was limited room for manoeuvre.|business
PayPal became the first foreign company to enter China’s payments industry when it took a 70% stake in a domestic digital-payments firm. American companies have been trying for years to break into a market that is dominated by Alibaba and Tencent.|business
Japan’s sales tax rose from 8% to 10%. The increase had been postponed in 2015 and again in 2017 amid worries of a slump in consumer spending, which happened after a previous raise to the tax in 2014. Food and non-alcoholic drinks continue to be taxed at 8%.|business
Novartis announced a partnership with Microsoft to apply artificial-intelligence technology to medicine. In one of the biggest collaborations in the field, the Swiss drugmaker said the research would start with tackling personalised remedies for eye degeneration, cell and gene therapy and drug design.|business
Founded in 1969 by two men making surfboards in a garage, Rip Curl, an Australian surfing gear and clothing company, was sold to Kathmandu, a New Zealand outdoor specialist. The men, now in their 70s, sold their firm for A$350m ($235m).|business
A report from Kroll, a corporate investigations and consultancy firm, highlighted the reputational risk to businesses from fake news on social media. Across the company bosses surveyed in 13 countries, 84% felt threatened by attempts to manipulate markets with fake stories, either by competitors or short sellers. One American cosmetics company saw sales drop by a fifth after a campaign on Twitter falsely claimed it tested its products on animals.|business
The leaked transcript of Mark Zuckerberg’s comments at a staff meeting provided a glimpse into the inner thoughts of Facebook’s boss. Mr Zuckerberg said that Elizabeth Warren’s proposal to break up big tech companies would “suck” and “you go to the mat and you fight” over something so “existential”. When asked about brain-computer interfaces, he joked that disapproving headlines would say “Facebook wants to perform brain surgery”.|business
Adam Neumann quit as chief executive of WeWork, the office-rental startup that he helped found. He had been blamed by investors for the postponement of WeWork’s IPO, which was shelved after a sharp drop in its expected value. Mr Neumann is staying on as chairman, but is reportedly ceding control of WeWork by curtailing his shareholder voting power. See article.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
Juul replaced its chief executive, as concerns mount about the health risks of e-cigarettes. The firm’s new boss comes from Altria, a tobacco company with a 35% stake in Juul. Health officials have identified hundreds of cases of lung illness related to vaping. Walmart decided to stop selling e-cigarettes because of the “regulatory complexity and uncertainty”. Massachusetts banned the sale of all vaping products for four months.|business
With the market for e-cigarettes facing a cloudy future, Philip Morris International and Altria ended their attempt to merge, reportedly in part because of the risk from Altria’s exposure to Juul.|business
German prosecutors charged Volkswagen’s chief executive, Herbert Diess, and chairman, Hans Dieter Pötsch, with failing to tell investors in the summer of 2015 that the carmaker was being investigated for cheating emissions tests. When news broke of the scandal in September that year VW’s share price plunged. Martin Winterkorn, the company’s CEO at the time, was also charged (he is also facing separate indictments of fraud). All three deny the charges.|business
Nissan and Carlos Ghosn settled with America’s Securities and Exchange Commission for filing fraudulent financial forms relating to his retirement package. Mr Ghosn was sacked by the Japanese carmaker as chairman last November for various alleged misdeeds and awaits trial in Tokyo. Both he and Nissan neither admitted nor denied wrongdoing.|business
Once described as a “Tesla killer”, NIO shed a quarter of its stockmarket value after reporting a big quarterly loss and drop in sales. The Chinese maker of electric vehicles has been hurt by a recall related to battery problems and the phasing-out of Chinese subsidies for green-energy cars.|business
Kristalina Georgieva was confirmed as the new managing director of the IMF. Ms Georgieva, a Bulgarian, is the first person from a developing economy to hold the job. In a speech she said the world must prepare for a downturn.|business
The EU’s second-highest court struck down the European Commission’s finding in 2015 that Starbucks had benefited from illegal tax breaks in the Netherlands.|business
Anheuser-Busch InBev priced the shares being sold in the forthcoming IPO of its Asian business at the bottom end of an indicative range it had set. The brewer has already sold some of the assets in the business, but the scaled-down flotation in Hong Kong should still raise at least $5bn, which would make it the world’s second-largest IPO this year, after Uber.|business
Royal Bank of Scotland appointed Alison Rose as chief executive, succeeding Ross McEwan, who has held the job for six years. Ms Rose takes over at a challenging time for RBS. The bank is still majority-owned by the taxpayer, 11 years after a bail-out. The government’s plan to return it to full private ownership by 2024 is less certain given RBS’s recent warning that Brexit could affect its profit.|business
The collapse of Thomas Cook led to the largest ever peacetime repatriation in Britain, as the government chartered planes to return 150,000 stranded tourists. The holiday firm requested a state bail-out, which was rejected amid reports that executives were still rewarding themselves hefty pay packages. Condor, a German airline and subsidiary of Thomas Cook, had better luck, securing a bridging loan backed by the German government to keep it flying. See article.|business
Facebook acquired CTRL-Labs, a startup that is developing a technology to enable people to manage computers with their brains. It has designed a wristband that captures signals sent from the brain to the hand and transmits them to a computer. The head of Facebook’s virtual-reality business said this allows someone to share a digital photo “just by…intending to”.|business
Peloton launched its IPO on the NASDAQ stockmarket, pricing its shares at the higher end of expectations. It describes itself as “an innovation company transforming the lives of people around the world through our ever-evolving fitness platform”. Translated, that means selling internet-connected bikes for $2,245 and subscriptions to workout plans. A sensation with svelte hipster-types, its finances are a bit flabby; it lost $196m in its latest financial year. Peloton will have to up the pace as it becomes a public company.|business
Saudi Arabia sought to assure markets that oil production levels would return to normal within weeks following the attack on two oil facilities, which cut around 5.7m barrels of oil a day from output. Analysts are sceptical that production can recover in such a short timespan. The attack had caused a huge spike in the price of Brent crude. See article.|business
The Federal Reserve sliced its benchmark interest rate for the second time within two months, by another quarter of a percentage point to a range of between 1.75% and 2%. There has been mounting evidence that uncertainty over trade is starting to drag on the economy, especially manufacturing. But with services flourishing and consumer spending buoyant, two of the Fed’s rate-setters voted against a cut. See article.|business
Upgrade your inbox and get our Daily Dispatch and Editor's Picks.|business
Earlier the Fed injected billions of dollars into the financial system because of an unexpected shortfall of cash available to banks, leading to a surge in the “repo rate” for overnight loans. It was the Fed’s first such surprise intervention in money markets since the financial crisis. See article. |business
The chief economist of the European Central Bank defended its decision to cut interest rates and restart its quantitative-easing scheme amid fierce criticism from Germany and the Netherlands. The ECB reduced its main rate to -0.5%, taking it further into negative territory. Jens Weidmann, the head of Germany’s Bundesbank, said the ECB had overreacted to the euro zone’s slowdown. Bild, a German newspaper, lampooned Mario Draghi, the ECB’s soon-to-retire president, as Count Draghila, lamenting the “horror” for prudent savers who are being sucked dry. Mr Draghi steps down on Halloween. See article.|business
Purdue Pharma filed for bankruptcy protection, part of a tentative settlement it has reached with 24 states and thousands of local governments to resolve claims that the aggressive marketing of its OxyContin painkiller contributed to America’s opioid crisis. Under its bankruptcy plan the drugmaker will become a public trust and the Sackler family will relinquish ownership. Purdue says the settlement is worth $10bn, but that is not enough for the two dozen states, including California and New York, that are contesting the agreement. See article.|business
WeWork postponed its IPO amid tepid interest from investors and a drop in its expected stockmarket value. The office-rental firm has never made a profit and was trying to go public amid market doubts about the prospects for other loss-making startups that have floated shares this year. Adam Neumann, WeWork’s hipsterish CEO, said he was “humbled” by the experience. See article.|business
